 Alka Superliga, Viborg FF, Osama Akharraz, Denmark
 Alka Superliga, Viborg FF, Peter Friis Jensen, Denmark
 Alka Superliga, Viborg FF, Sebastian John Linnet, Denmark
 Alka Superliga, Viborg FF, Serge Deblé, Côte d'Ivoire
 Alka Superliga, Viborg FF, Søren Frederiksen, Denmark
 Alka Superliga, Viborg FF, Søren Reese, Denmark
 Allsvenskan, AIK, Amin Affane, Sweden
 Allsvenskan, AIK, Anton Salétros, Sweden
 Allsvenskan, AIK, Christos Gravius, Sweden
 Allsvenskan, AIK, Daniel Sundgren, Sweden
 Allsvenskan, AIK, Denni Avdić, Sweden
 Allsvenskan, AIK, Eero Markkanen, Finland
 Allsvenskan, AIK, Haukur Heiðar Hauksson, Iceland
 Allsvenskan, AIK, Johan Blomberg, Sweden
 Allsvenskan, AIK, Kyriakos Stamatopoulos, Canada
 Allsvenskan, AIK, Nils-Eric Johansson, Sweden
 Allsvenskan, AIK, Oscar Linnér, Sweden
 Allsvenskan, AIK, Patrick Kpozo, Ghana
 Allsvenskan, AIK, Per Karlsson, Sweden
 Allsvenskan, AIK, Sauli Väisänen, Finland
 Allsvenskan, AIK, Stefan Ishizaki, Sweden
 Allsvenskan, BK Häcken, Adam Andersson, Sweden
 Allsvenskan, BK Häcken, Alexander Farnerud, Sweden
 Allsvenskan, BK Häcken, Alhassan Kamara, Sierra Leone
 Allsvenskan, BK Häcken, Christoffer Källqvist, Sweden
 Allsvenskan, BK Häcken, Demba Savage, Gambia
 Allsvenskan, BK Häcken, Emil Wahlström, Sweden
 Allsvenskan, BK Häcken, Gustav Berggren, Sweden
 Allsvenskan, BK Häcken, Jasmin Sudić, Sweden
 Allsvenskan, BK Häcken, Joel Andersson, Sweden
 Allsvenskan, BK Häcken, John Owoeri, Nigeria
 Allsvenskan, BK Häcken, Kari Arkivuo, Finland
 Allsvenskan, BK Häcken, Mohammed Abubakari, Ghana
 Allsvenskan, BK Häcken, Nasiru Mohammed, Ghana
 Allsvenskan, BK Häcken, Paulinho, Brazil
 Allsvenskan, BK Häcken, Peter Abrahamsson, Sweden
 Allsvenskan, BK Häcken, Rasmus Lindgren, Sweden
 Allsvenskan, BK Häcken, René Makondele, Congo DR
 Allsvenskan, Djurgårdens IF, Alexander Faltsetas, Sweden
 Allsvenskan, Djurgårdens IF, Amadou Jawo, Sweden
 Allsvenskan, Djurgårdens IF, Andreas Isaksson, Sweden
 Allsvenskan, Djurgårdens IF, Besard Sabovic, Sweden
 Allsvenskan, Djurgårdens IF, Daniel Berntsen, Norway
 Allsvenskan, Djurgårdens IF, Elliot Käck, Sweden
 Allsvenskan, Djurgårdens IF, Haris Radetinac, Serbia
 Allsvenskan, Djurgårdens IF, Jacob Une Larsson, Sweden
 Allsvenskan, Djurgårdens IF, Jesper Karlström, Sweden
 Allsvenskan, Djurgårdens IF, Jonathan Augustinsson, Sweden
 Allsvenskan, Djurgårdens IF, Kebba Ceesay, Gambia
 Allsvenskan, Djurgårdens IF, Kerim Mrabti, Sweden
 Allsvenskan, Djurgårdens IF, Kevin Walker, Sweden
 Allsvenskan, Djurgårdens IF, Magnus Eriksson, Sweden
 Allsvenskan, Djurgårdens IF, Marcus Hansson, Sweden
 Allsvenskan, Djurgårdens IF, Mihlali Mayambela, South Africa
 Allsvenskan, Djurgårdens IF, Niklas Gunnarsson, Norway
 Allsvenskan, Djurgårdens IF, Oscar Jonsson, Sweden
 Allsvenskan, Djurgårdens IF, Othman El Kabir, Holland
 Allsvenskan, Djurgårdens IF, Tinotenda Kadewere, Zimbabwe
 Allsvenskan, Falkenbergs FF, Alexander Lundin, Sweden
 Allsvenskan, Falkenbergs FF, Amin Nazari, Sweden
 Allsvenskan, Falkenbergs FF, Christoffer Carlsson, Sweden
 Allsvenskan, Falkenbergs FF, Daniel Johansson, Sweden
 Allsvenskan, Falkenbergs FF, David Svensson, Sweden
 Allsvenskan, Falkenbergs FF, Enock Kwakwa, Ghana
 Allsvenskan, Falkenbergs FF, Erik Zetterberg, Sweden
 Allsvenskan, Falkenbergs FF, Felipe Carvalho, Uruguay
 Allsvenskan, Falkenbergs FF, Hakeem Araba, England
 Allsvenskan, Falkenbergs FF, Hampus Svensson, Sweden
 Allsvenskan, Falkenbergs FF, Jesper Karlsson, Sweden
 Allsvenskan, Falkenbergs FF, Johan Brattberg, Sweden
 Allsvenskan, Falkenbergs FF, Johannes Vall, Sweden
 Allsvenskan, Falkenbergs FF, Kamal Mustafa, Sweden
 Allsvenskan, Falkenbergs FF, Linus Andersson, Sweden
 Allsvenskan, Falkenbergs FF, Otto Martler, Sweden
 Allsvenskan, Falkenbergs FF, Rasmus Sjöstedt, Sweden
 Allsvenskan, Falkenbergs FF, Stefan Rodevåg, Sweden
 Allsvenskan, Falkenbergs FF, Thomas Drage, Norway
 Allsvenskan, Falkenbergs FF, Thomas Juel-Nielsen, Denmark
 Allsvenskan, Falkenbergs FF, Tibor Joza, Sweden
 Allsvenskan, Falkenbergs FF, Tobias Karlsson, Sweden
 Allsvenskan, Falkenbergs FF, Zlatan Krizanović, Sweden
 Allsvenskan, GIF Sundsvall, David Myrestam, Sweden
 Allsvenskan, GIF Sundsvall, Dennis Olsson, Sweden
 Allsvenskan, GIF Sundsvall, Eric Björkander, Sweden
 Allsvenskan, GIF Sundsvall, Eric Larsson, Sweden
 Allsvenskan, GIF Sundsvall, Erik Granat, Sweden
 Allsvenskan, GIF Sundsvall, Filip Tägtström, Sweden
 Allsvenskan, GIF Sundsvall, Jonathan Malmberg, Sweden
 Allsvenskan, GIF Sundsvall, Kristinn Steindórsson, Iceland
 Allsvenskan, GIF Sundsvall, Lars Krogh Gerson, Luxembourg
 Allsvenskan, GIF Sundsvall, Linus Hallenius, Sweden
 Allsvenskan, GIF Sundsvall, Lloyd Saxton, England
 Allsvenskan, GIF Sundsvall, Marcus Danielsson, Sweden
 Allsvenskan, GIF Sundsvall, Noah Sonko Sundberg, Sweden
 Allsvenskan, GIF Sundsvall, Peter Wilson, Liberia
 Allsvenskan, GIF Sundsvall, Robbin Sellin, Sweden
 Allsvenskan, GIF Sundsvall, Robin Tranberg, Sweden
 Allsvenskan, GIF Sundsvall, Sebastian Rajalakso, Sweden
 Allsvenskan, GIF Sundsvall, Smajl Suljevic, Sweden
 Allsvenskan, GIF Sundsvall, Tommy Naurin, Sweden
 Allsvenskan, Gefle IF, Anders Bååth, Sweden
 Allsvenskan, Gefle IF, Andreas Andersson, Sweden
 Allsvenskan, Gefle IF, Anton Lans, Sweden
 Allsvenskan, Gefle IF, Dioh Williams, Liberia
 Allsvenskan, Gefle IF, Emil Bellander, Sweden
 Allsvenskan, Gefle IF, Emil Hedvall, Sweden
 Allsvenskan, Gefle IF, Jacob Ericsson, Sweden
 Allsvenskan, Gefle IF, Jacob Hjelte, Sweden
 Allsvenskan, Gefle IF, Jens Portin, Finland
 Allsvenskan, Gefle IF, Jesper Florén, Sweden
 Allsvenskan, Gefle IF, Johan Bertilsson, Sweden
 Allsvenskan, Gefle IF, Johan Oremo, Sweden
 Allsvenskan, Gefle IF, Jonas Lantto, Sweden
 Allsvenskan, Gefle IF, Joshua Nadeau, France
 Allsvenskan, Gefle IF, Kwame Bonsu, Ghana
 Allsvenskan, Gefle IF, Martin Rauschenberg, Denmark
 Allsvenskan, Gefle IF, Mattias Hugosson, Sweden
 Allsvenskan, Gefle IF, Robin Nilsson, Sweden
 Allsvenskan, Gefle IF, Simen Rafn, Norway
 Allsvenskan, Gefle IF, Simon Skrabb, Finland
 Allsvenskan, Hammarby IF, Arnór Smárason, Iceland
 Allsvenskan, Hammarby IF, Birkir Már Sævarsson, Iceland
 Allsvenskan, Hammarby IF, Bjørn Paulsen, Denmark
 Allsvenskan, Hammarby IF, David Boo Wiklander, Sweden
 Allsvenskan, Hammarby IF, Dusan Jajic, Sweden
 Allsvenskan, Hammarby IF, Fredrik Torsteinbø, Norway
 Allsvenskan, Hammarby IF, Imad Khalili, Palestine
 Allsvenskan, Hammarby IF, Isac Lidberg, Sweden
 Allsvenskan, Hammarby IF, Jiloan Hamad, Sweden
 Allsvenskan, Hammarby IF, Johan Persson, Sweden
 Allsvenskan, Hammarby IF, Joseph Aidoo, Ghana
 Allsvenskan, Hammarby IF, Kennedy Bakırcıoğlu, Sweden
 Allsvenskan, Hammarby IF, Mats Solheim, Norway
 Allsvenskan, Hammarby IF, Oliver Silverholt, Sweden
